Source,Target,year
EU , Cameroon,2009
India , Nepal,2009
Peru , China,2009
ASEAN , Australia ,2009
ASEAN , India,2009
Canada , Jordan,2009
EU , Eastern and Southern Africa States Interim EPA,2009
New Zealand , Malaysia,2009
EFTA , Serbia,2009
EFTA , Albania,2009
Turkey , Jordan,2009
Turkey , Chile,2009
EFTA , GCC,2009
Turkey , Serbia,2009
EU , Papua New Guinea / Fiji,2009
Japan , Switzerland,2009
"Korea, Republic of ", India,2009
EFTA , Ukraine,2010
The Cross,Straits Economic Cooperation Framework Agreement (ECFA),2010
Chile , Malaysia,2010
EU ," Korea, Republic of",2010
"Hong Kong, China ", New Zealand,2010
China , Costa Rica,2010
EFTA , Peru,2010
Canada , Panama,2010
Costa Rica , Singapore,2010
Mexico , Central America,2011
Ukraine , Montenegro,2011
India , Malaysia,2011
Costa Rica , Peru,2011
Panama , Peru,2011
Turkey , Mauritius,2011
EFTA , Montenegro,2011
Treaty on a Free Trade Area between members of the Commonwealth of Independent States (CIS),Treaty on a Free Trade Area between members of the Commonwealth of Independent States (CIS),2011
Japan , Peru,2011
India , Japan,2011
El Salvador , Cuba,2011
Chile , Viet Nam,2011
EFTA ," Hong Kong, China",2011
Peru ," Korea, Republic of",2011
Peru , Mexico,2011
EU , Colombia and Peru,2012
"Hong Kong, China ", Chile,2012
EU , Central America,2012
"Korea, Republic of ", Turkey,2012
Malaysia , Australia,2012
"Korea, Republic of ",  Colombia,2013
EFTA , Bosnia and Herzegovina,2013
Singapore , Chinese Taipei,2013
Iceland , China,2013
New Zealand , Chinese Taipei,2013
Switzerland , China,2013
EFTA , Central America (Costa Rica and Panama),2013
Canada , Honduras,2013
Turkey , Malaysia,2014
Mexico , Panama,2014
"Korea, Republic of ", Australia,2014
Turkey ," Moldova, Republic of",2014
EU , Georgia,2014
EU , Rep. of  Moldova,2014
Japan , Australia,2014
Pacific Alliance,Pacific Alliance,2014
EU , Ukraine,2014
Eurasian Economic Union (EAEU) , Accession of the Kyrgyz Republic,2014
Canada , Rep. of Korea,2014
Eurasian Economic Union (EAEU),Eurasian Economic Union (EAEU),2014
Eurasian Economic Union (EAEU) , Accession of Armenia,2014
Australia , China,2015
Rep. of Korea , Viet Nam,2015
China , Rep. of Korea,2015
Rep. of Korea , New Zealand,2015
Japan , Mongolia,2015
Eurasian Economic Union (EAEU) , Viet Nam,2015
EFTA , Philippines,2016
Canada , Ukraine,2016
Trans,Pacific Partnership,2016
Trans,Pacific Partnership,2016
EU , Ghana,2016
