Source,Target,year
Japan , Thailand,2007
Panama , Singapore,2006
EU , Andorra,1991
Canada , Chile,1996
EU , Palestinian Authority,1997
EU , Faroe Islands,1996
Canada , Israel,1996
European Economic Area (EEA),European Economic Area (EEA),1992
Faroe Islands , Norway,1992
Faroe Islands , Switzerland,1994
Faeroe Islands , Iceland,1992
EU , Turkey,1995
EU , Albania,2006
EC Treaty,EC Treaty,1957
Common Market for Eastern and Southern Africa (COMESA),Common Market for Eastern and Southern Africa (COMESA),1993
North American Free Trade Agreement (NAFTA),North American Free Trade Agreement (NAFTA),1992
South Asian Preferential Trade Arrangement (SAPTA),South Asian Preferential Trade Arrangement (SAPTA),1993
EFTA , Israel,1992
ASEAN Free Trade Area (AFTA),ASEAN Free Trade Area (AFTA),1992
Andean Community (CAN),Andean Community (CAN),1987
Economic Cooperation Organization (ECO),Economic Cooperation Organization (ECO),2003
EFTA , Turkey,1991
Southern Common Market (MERCOSUR),Southern Common Market (MERCOSUR),1991
Turkey , Syria,2004
Lao People's Democratic Republic , Thailand,1991
US , Israel,1985
Australia , New Zealand (ANZCERTA),1982
Latin American Integration Association (LAIA),Latin American Integration Association (LAIA),1980
South Pacific Regional Trade and Economic Cooperation Agreement (SPARTECA),South Pacific Regional Trade and Economic Cooperation Agreement (SPARTECA),1980
EU , Syria,1977
Australia , Papua New Guinea (PATCRA),1976
Asia Pacific Trade Agreement (APTA),Asia Pacific Trade Agreement (APTA),1975
Caribbean Community and Common Market (CARICOM),Caribbean Community and Common Market (CARICOM),1973
EU , Norway,1973
EFTA , Lebanon,2004
EU , Iceland,1972
EU , Switzerland ,1972
Global System of Trade Preferences among Developing Countries (GSTP),Global System of Trade Preferences among Developing Countries (GSTP),1988
Protocol on Trade Negotiations (PTN),Protocol on Trade Negotiations (PTN),1971
EU – Overseas Countries and Territories (OCT),EU – Overseas Countries and Territories (OCT),1970
EFTA , Accession of Iceland,1969
Tripartite Agreement,Tripartite Agreement,1967
Central American Common Market (CACM),Central American Common Market (CACM),1960
European Free Trade Association (EFTA),European Free Trade Association (EFTA),1960
Pakistan , China,2006
Pan,Arab Free Trade Area (PAFTA),1997
EU , Montenegro,2007
Australia , China,2015
Australia , Chile,2008
EFTA , Canada,2008
Canada , Colombia,2008
EU ," Korea, Republic of",2010
Canada , Rep. of Korea,2014
ASEAN ," Korea, Republic of",2006
Japan , Viet Nam,2008
Japan , Indonesia,2007
Gulf Cooperation Council (GCC),Gulf Cooperation Council (GCC),2001
India , Japan,2011
Japan , Australia,2014
ASEAN , Japan,2008
EFTA , Colombia,2008
EFTA , Peru,2010
Japan , Switzerland,2009
US , Peru,2006
US , Panama,2007
US , Oman,2006
"Korea, Republic of ", US,2007
EU , Algeria,2002
Malaysia , Australia,2012
Pakistan , Malaysia,2007
South Asian Free Trade Agreement (SAFTA),South Asian Free Trade Agreement (SAFTA),2004
Panama , Chile,2006
African Common Market,African Common Market,1962
Albania , Bosnia and Herzegovina,2003
Albania , Bulgaria,2003
Albania , Former Yugoslav Republic of Macedonia,2002
Albania , Moldova,2003
Albania , Romania,2003
US , Bahrain,2005
Albania , Serbia and Montenegro,2003
Albania , UNMIC/Kosovo,2003
Arab Common Market,Arab Common Market,1964
Arusha  Agreement,Arusha  Agreement,1969
Australia , New Zealand Free Trade Agreement,1965
Borneo Free Trade Area,Borneo Free Trade Area,1961
Bulgaria , Bosnia and Herzegovina,2003
Bulgaria , Estonia,2001
Bulgaria , Former Yugoslav Republic of Macedonia,1999
Bulgaria , Israel,2001
Costa Rica , Mexico,1994
Bulgaria , Latvia,2002
Bulgaria , Lithuania,2001
Bulgaria , Serbia and Montenegro,2003
Bulgaria , Slovak Republic Free Trade Agreement,1995
Bulgaria , Slovenia,1996
Bulgaria , Turkey,1998
Canada , US Free Trade Agreement (CUSFTA),1988
Caribbean Free Trade Association (CARIFTA),Caribbean Free Trade Association (CARIFTA),1965
Central American Free Trade Area,Central American Free Trade Area,1958
Central European Free Trade Agreement (CEFTA),Central European Free Trade Agreement (CEFTA),1992
EFTA ," Korea, Republic of",2005
Central European Free Trade Agreement (CEFTA) , Accession of Bulgaria,1998
Central European Free Trade Agreement (CEFTA) , Accession of Romania,1997
Central European Free Trade Agreement (CEFTA) , Accession of Slovenia,1995
Croatia , Albania,2002
Croatia , Bosnia and Herzegovina,2000
Croatia , Former Yugoslav Republic of Macedonia,1997
Croatia , Serbia and Montenegro,2004
Czech Republic , Bulgaria Free Trade Agreement,1995
Czech Republic , Estonia,1996
Czech Republic , Israel,1996
Egypt , Turkey,2005
Japan , Malaysia,2005
Czech Republic , Latvia,1996
Czech Republic , Lithuania,1996
Czech Republic , Romania Free Trade Agreement,1994
Czech Republic , Slovak Republic Customs Union,1992
Czech Republic , Slovenia,1993
Czech Republic , Turkey,1997
EC , Algeria,1976
EC , Austria Agreement of 1972,1972
EC , Bulgaria Europe Agreement,1993
EC , Bulgaria Interim Agreement,1993
Jordan , Singapore,2004
EC , Cyprus Association Agreement,1972
EC , Czech and Slovak Federal Republic Interim Agreement,1991
EC , Czech Republic Europe Agreement,1993
EC , Egypt Agreement of 1972,1972
EC , Egypt Cooperation Agreement,1977
EC , Estonia Agreement,1994
EC , Faeroe Islands Agreement of 1992,1991
EC , Finland Agreement,1973
EC , Greece Additional Protocol,1975
EEC , Greece Association Agreement,1961
Mexico , Northern Triangle,2000
EC , Hungary Europe Agreement,1991
EC , Hungary Interim Agreement of 1991,1991
EC , Israel Agreement of 1970,1970
EC , Latvia Agreement,1994
EC , Lebanon Cooperation Agreement,1977
EC , Lithuania,1994
EC , Malta Association Agreement,1970
EC , Morocco Association Agreement of 1969,1969
EC , Poland Europe Agreement,1991
EC , Poland Interim Agreement of 1991,1991
Dominican Republic , Central America ,2004
EC , Portugal Agreement of 1972,1972
EC , Romania Europe Agreement,1993
EC , Romania Interim Agreement,1993
EC , Slovak Republic Europe Agreement,1993
EC , Slovenia Cooperation Agreement,1993
EC , Slovenia Europe Agreement,1996
EC , Slovenia Interim Agreement,1996
EC , Spain Agreement of 1970,1970
EC , Sweden Agreement,1972
EC , Syria Interim Agreement of 1977,1977
"Korea, Republic of ", Singapore,2005
EC , Tunisia Association Agreement of 1969,1969
EC , Turkey Additional Protocol,1970
EEC , Turkey Association Agreement of 1963,1963
EC , Turkey Association Agreement of 1973,1973
EFTA , Bulgaria,1993
EFTA , Czechoslovakia,1992
EFTA , Estonia Free Trade Agreement,1995
EFTA , Hungary Agreement,1993
EFTA , Latvia,1995
EFTA , Lithuania,1995
Turkey , Morocco,2004
EFTA , Poland Agreement,1992
