Source,Target,Region Category
Japan , Thailand,East Asia
Panama , Singapore,Central America; East Asia
EU , Andorra,Europe
Canada , Chile,North America; South America
EU , Palestinian Authority,Europe; Middle East
EU , Faroe Islands,Europe
Canada , Israel,North America; Middle East
European Economic Area (EEA),European Economic Area (EEA),Europe
Faroe Islands , Norway,Europe
Faroe Islands , Switzerland,Europe
Faeroe Islands , Iceland,Europe
EU , Turkey,Europe
EU , Albania,Europe
EC Treaty,EC Treaty,Europe
Common Market for Eastern and Southern Africa (COMESA),Common Market for Eastern and Southern Africa (COMESA),Africa
North American Free Trade Agreement (NAFTA),North American Free Trade Agreement (NAFTA),North America
South Asian Preferential Trade Arrangement (SAPTA),South Asian Preferential Trade Arrangement (SAPTA),West Asia
EFTA , Israel,Europe; Middle East
ASEAN Free Trade Area (AFTA),ASEAN Free Trade Area (AFTA),East Asia
Andean Community (CAN),Andean Community (CAN),South America
Economic Cooperation Organization (ECO),Economic Cooperation Organization (ECO),Middle East; West Asia; Europe
EFTA , Turkey,Europe
Southern Common Market (MERCOSUR),Southern Common Market (MERCOSUR),South America
Turkey , Syria,Middle East; Europe
Lao People's Democratic Republic , Thailand,East Asia
US , Israel,Middle East; North America
Australia , New Zealand (ANZCERTA),Oceania
Latin American Integration Association (LAIA),Latin American Integration Association (LAIA),South America; Caribbean; North America
South Pacific Regional Trade and Economic Cooperation Agreement (SPARTECA),South Pacific Regional Trade and Economic Cooperation Agreement (SPARTECA),Oceania
EU , Syria,Europe; Middle East
Australia , Papua New Guinea (PATCRA),Oceania
Asia Pacific Trade Agreement (APTA),Asia Pacific Trade Agreement (APTA),West Asia; East Asia
Caribbean Community and Common Market (CARICOM),Caribbean Community and Common Market (CARICOM),Caribbean; Central America; South America
EU , Norway,Europe
EFTA , Lebanon,Europe; Middle East
EU , Iceland,Europe
EU , Switzerland ,Europe
Global System of Trade Preferences among Developing Countries (GSTP),Global System of Trade Preferences among Developing Countries (GSTP),Africa; South America; West Asia; Caribbean; East Asia; Middle East; North America; Central America
Protocol on Trade Negotiations (PTN),Protocol on Trade Negotiations (PTN),West Asia; South America; Africa; Middle East; East Asia; North America; Europe
EU – Overseas Countries and Territories (OCT),EU – Overseas Countries and Territories (OCT),Caribbean; Europe; Africa; South America; Oceania; North America
EFTA , Accession of Iceland,Europe
Tripartite Agreement,Tripartite Agreement,Africa; West Asia; Europe
Central American Common Market (CACM),Central American Common Market (CACM),Central America
European Free Trade Association (EFTA),European Free Trade Association (EFTA),Europe
Pakistan , China,East Asia; West Asia
Pan,Arab Free Trade Area (PAFTA),Middle East; Africa
EU , Montenegro,Europe
Australia , China,Oceania; East Asia
