Source,Target,year
EFTA , Turkey,1991
EU , Andorra,1991
Lao People's Democratic Republic , Thailand,1991
EU , San Marino,1991
EC , Hungary Europe Agreement,1991
EC , Hungary Interim Agreement of 1991,1991
Southern Common Market (MERCOSUR),Southern Common Market (MERCOSUR),1991
EC , Poland Europe Agreement,1991
EC , Faeroe Islands Agreement of 1992,1991
EC , Poland Interim Agreement of 1991,1991
EC , Czech and Slovak Federal Republic Interim Agreement,1991
Estonia , Norway Free Trade Agreement,1992
Estonia , Sweden Free Trade Agreement,1992
Lithuania , Sweden Free Trade Agreement,1992
Lithuania , Norway Free Trade Agreement,1992
Latvia , Switzerland Free Trade Agreement,1992
EFTA , Israel,1992
Latvia , Sweden Free Trade Agreement,1992
Latvia , Norway Free Trade Agreement,1992
EFTA , Czechoslovakia,1992
Lithuania , Switzerland Free,1992
North American Free Trade Agreement (NAFTA),North American Free Trade Agreement (NAFTA),1992
Central European Free Trade Agreement (CEFTA),Central European Free Trade Agreement (CEFTA),1992
ASEAN Free Trade Area (AFTA),ASEAN Free Trade Area (AFTA),1992
Estonia , Switzerland Free Trade Agreement,1992
Kyrgyz Republic , Russian Federation,1992
Finland , Estonia Protocol,1992
EFTA , Romania Free Trade Agreement,1992
Russian Federation , Turkmenistan,1992
Russian Federation , Uzbekistan,1992
Armenia , Russian Federation,1992
Finland , Lithuania Protocol,1992
Russian Federation , Tajikistan,1992
Russian Federation , Kazakhstan,1992
European Economic Area (EEA),European Economic Area (EEA),1992
Russian Federation , Azerbaijan,1992
Ukraine , Belarus,1992
Faeroe Islands , Iceland,1992
Faroe Islands , Norway,1992
EFTA , Poland Agreement,1992
Russian Federation , Belarus,1992
Czech Republic , Slovak Republic Customs Union,1992
Finland , Latvia Protocol,1992
EC , Romania Europe Agreement,1993
South Asian Preferential Trade Arrangement (SAPTA),South Asian Preferential Trade Arrangement (SAPTA),1993
EC , Slovak Republic Europe Agreement,1993
EC , Czech Republic Europe Agreement,1993
Czech Republic , Slovenia,1993
EC , Slovenia Cooperation Agreement,1993
EC , Bulgaria Europe Agreement,1993
EC , Bulgaria Interim Agreement,1993
Common Market for Eastern and Southern Africa (COMESA),Common Market for Eastern and Southern Africa (COMESA),1993
EC , Romania Interim Agreement,1993
Estonia , Latvia ,1993
Economic Community of West African States (ECOWAS),Economic Community of West African States (ECOWAS),1993
Melanesian Spearhead Group (MSG),Melanesian Spearhead Group (MSG),1993
EFTA , Bulgaria,1993
Armenia , Moldova,1993
EFTA , Hungary Agreement,1993
Russian Federation , Republic of Moldova,1993
Ukraine , Russian Federation,1993
Ukraine ,Turkmenistan,1994
Czech Republic , Romania Free Trade Agreement,1994
Ukraine , Uzbekistan,1994
EC , Lithuania,1994
Hungary , Slovenia Free Trade Agreement,1994
Ukraine , Kazakhstan,1994
Armenia , Ukraine,1994
Georgia , Russian Federation,1994
Kyrgyz Republic , Armenia,1994
Economic and Monetary Community of Central Africa (CEMAC),Economic and Monetary Community of Central Africa (CEMAC),1994
Faroe Islands , Switzerland,1994
Colombia , Mexico,1994
EC , Latvia Agreement,1994
West African Economic and Monetary Union (WAEMU),West African Economic and Monetary Union (WAEMU),1994
Costa Rica , Mexico,1994
EC , Estonia Agreement,1994
Slovak Republic , Romania Free Trade Agreement,1994
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS),1994
Romania , Moldova,1994
Czech Republic , Bulgaria Free Trade Agreement,1995
Kyrgyz Republic , Ukraine,1995
EU , Israel,1995
