Source,Target,year
Turkey , Poland,1999
Armenia , Kazakhstan,1999
East African Community (EAC),East African Community (EAC),1999
Bulgaria , Former Yugoslav Republic of Macedonia,1999
EU , South Africa,1999
Hungary , Latvia,1999
Turkey , Former Yugoslav Republic of Macedonia,1999
Chile , Central America,1999
EFTA , Former Yugoslav Republic of Macedonia,2000
Croatia , Bosnia and Herzegovina,2000
Israel , Mexico,2000
EFTA , Mexico,2000
Russian Federation , Serbia,2000
New Zealand , Singapore,2000
Mexico , Northern Triangle,2000
US , Jordan,2000
Ukraine , Tajikistan,2001
EFTA , Croatia,2001
Ukraine , Former Yugoslav Republic of Macedonia,2001
EU , Former Yugoslav Republic of Macedonia,2001
EU , Croatia,2001
Pacific Island Countries Trade Agreement (PICTA),Pacific Island Countries Trade Agreement (PICTA),2001
EFTA , Jordan,2001
EU , Egypt,2001
Canada , Costa Rica,2001
Gulf Cooperation Council (GCC),Gulf Cooperation Council (GCC),2001
Romania , Israel,2001
Bulgaria , Israel,2001
Slovenia , Bosnia and Herzegovina,2001
Bulgaria , Estonia,2001
Bulgaria , Lithuania,2001
Bulgaria , Latvia,2002
Panama , Central America,2002
GUAM,GUAM,2002
Japan , Singapore,2002
Former Yugoslav Republic of Macedonia  , Bosnia and Herzegovina,2002
Turkey , Bosnia and Herzegovina,2002
Moldova , Bosnia and Herzegovina,2002
Southern African Customs Union (SACU),Southern African Customs Union (SACU),2002
Pakistan , Sri Lanka,2002
Albania , Former Yugoslav Republic of Macedonia,2002
EFTA , Singapore,2002
Croatia , Albania,2002
EU , Algeria,2002
Central European Free Trade Agreement (CEFTA) , Accession of Croatia,2002
EU , Chile,2002
Turkey , Croatia,2002
EU , Lebanon,2002
Romania , Bosnia and Herzegovina,2003
Moldova , Serbia and Montenegro,2003
US , Chile,2003
Albania , Bosnia and Herzegovina,2003
Romania , Serbia and Montenegro,2003
Singapore , Australia,2003
Ukraine , Moldova,2003
Bulgaria , Serbia and Montenegro,2003
Common Economic Zone (CEZ),Common Economic Zone (CEZ),2003
Albania , Moldova,2003
India , Thailand,2003
Albania , Bulgaria,2003
India , Afghanistan,2003
Panama , Chinese Taipei,2003
"Korea, Republic of ", Chile,2003
Romania , Former Yugoslav Republic of Macedonia,2003
Albania , Serbia and Montenegro,2003
Albania , UNMIC/Kosovo,2003
US , Singapore,2003
Economic Cooperation Organization (ECO),Economic Cooperation Organization (ECO),2003
China ," Macao, China",2003
Mexico , Uruguay,2003
EFTA , Chile,2003
Albania , Romania,2003
China ," Hong Kong, China",2003
Bulgaria , Bosnia and Herzegovina,2003
US , Australia,2004
ASEAN , China,2004
Turkey , Morocco,2004
Turkey , Syria,2004
Moldova , Bulgaria,2004
Agadir Agreement,Agadir Agreement,2004
Turkey , Tunisia,2004
EFTA , Lebanon,2004
Turkey , Palestinian Authority,2004
Moldova , Former Yugoslav Republic of Macedonia,2004
Japan , Mexico,2004
MERCOSUR , India,2004
Moldova , Croatia,2004
Croatia , Serbia and Montenegro,2004
EFTA , Tunisia,2004
Jordan , Singapore,2004
Dominican Republic , Central America ,2004
US , Morocco,2004
South Asian Free Trade Agreement (SAFTA),South Asian Free Trade Agreement (SAFTA),2004
Thailand , Australia,2004
Guatemala , Chinese Taipei,2005
Japan , Malaysia,2005
Thailand , New Zealand,2005
EFTA ," Korea, Republic of",2005
"Korea, Republic of ", Singapore,2005
Egypt , Turkey,2005
Chile , China,2005
US , Bahrain,2005
India , Singapore,2005
Trans,Pacific Strategic Economic Partnership,2005
Iceland , Faroe Islands,2005
EU , Albania,2006
US , Peru,2006
Panama , Chile,2006
EFTA , SACU,2006
Japan , Philippines,2006
ASEAN ," Korea, Republic of",2006
Nicaragua , Chinese Taipei,2006
Chile , India,2006
Central European Free Trade Agreement (CEFTA) 2006,Central European Free Trade Agreement (CEFTA) 2006,2006
Turkey , Albania,2006
US , Colombia,2006
Peru , Chile,2006
Chile , Colombia,2006
Panama , Singapore,2006
Pakistan , China,2006
India , Bhutan,2006
US , Oman,2006
EFTA , Egypt,2007
EU , Montenegro,2007
Japan , Indonesia,2007
East African Community (EAC) , Accession of Burundi and Rwanda,2007
US , Panama,2007
"Korea, Republic of ", US,2007
Japan , Thailand,2007
El Salvador, Honduras ,2007
Pakistan , Malaysia,2007
Colombia ," Northern Triangle (El Salvador, Guatemala, Honduras)",2007
Turkey , Georgia,2007
Mauritius , Pakistan,2007
Brunei Darussalam , Japan,2007
Chile , Japan,2007
China , New Zealand,2008
Canada , Peru,2008
EU , Serbia,2008
EU , CARIFORUM States EPA,2008
Gulf Cooperation Council (GCC) , Singapore,2008
Canada , Colombia,2008
EFTA , Canada,2008
Japan , Viet Nam,2008
EU , Côte d'Ivoire,2008
Australia , Chile,2008
Turkey , Montenegro,2008
ASEAN , Japan,2008
EFTA , Colombia,2008
Southern Common Market (MERCOSUR) , Southern African Customs Union (SACU),2008
China , Singapore,2008
Peru , Singapore,2008
EU , Bosnia and Herzegovina,2008
