Source,Target
Japan , Thailand
Panama , Singapore
EU , Andorra
Canada , Chile
EU , Palestinian Authority
EU , Faroe Islands
Canada , Israel
European Economic Area (EEA),European Economic Area (EEA)
Faroe Islands , Norway
Faroe Islands , Switzerland
Faeroe Islands , Iceland
EU , Turkey
EU , Albania
EC Treaty,EC Treaty
Common Market for Eastern and Southern Africa (COMESA),Common Market for Eastern and Southern Africa (COMESA)
North American Free Trade Agreement (NAFTA),North American Free Trade Agreement (NAFTA)
South Asian Preferential Trade Arrangement (SAPTA),South Asian Preferential Trade Arrangement (SAPTA)
EFTA , Israel
ASEAN Free Trade Area (AFTA),ASEAN Free Trade Area (AFTA)
Andean Community (CAN),Andean Community (CAN)
Economic Cooperation Organization (ECO),Economic Cooperation Organization (ECO)
EFTA , Turkey
Southern Common Market (MERCOSUR),Southern Common Market (MERCOSUR)
Turkey , Syria
Lao People's Democratic Republic , Thailand
US , Israel
Australia , New Zealand (ANZCERTA)
Latin American Integration Association (LAIA),Latin American Integration Association (LAIA)
South Pacific Regional Trade and Economic Cooperation Agreement (SPARTECA),South Pacific Regional Trade and Economic Cooperation Agreement (SPARTECA)
EU , Syria
Australia , Papua New Guinea (PATCRA)
Asia Pacific Trade Agreement (APTA),Asia Pacific Trade Agreement (APTA)
Caribbean Community and Common Market (CARICOM),Caribbean Community and Common Market (CARICOM)
EU , Norway
EFTA , Lebanon
EU , Iceland
EU , Switzerland 
Global System of Trade Preferences among Developing Countries (GSTP),Global System of Trade Preferences among Developing Countries (GSTP)
Protocol on Trade Negotiations (PTN),Protocol on Trade Negotiations (PTN)
EU – Overseas Countries and Territories (OCT),EU – Overseas Countries and Territories (OCT)
EFTA , Accession of Iceland
Tripartite Agreement,Tripartite Agreement
Central American Common Market (CACM),Central American Common Market (CACM)
European Free Trade Association (EFTA),European Free Trade Association (EFTA)
Pakistan , China
Pan,Arab Free Trade Area (PAFTA)
EU , Montenegro
Australia , China
Australia , Chile
EFTA , Canada
Canada , Colombia
EU ," Korea, Republic of"
Canada , Rep. of Korea
ASEAN ," Korea, Republic of"
Japan , Viet Nam
Japan , Indonesia
Gulf Cooperation Council (GCC),Gulf Cooperation Council (GCC)
India , Japan
Japan , Australia
ASEAN , Japan
EFTA , Colombia
EFTA , Peru
Japan , Switzerland
US , Peru
US , Panama
US , Oman
"Korea, Republic of ", US
EU , Algeria
Malaysia , Australia
Pakistan , Malaysia
South Asian Free Trade Agreement (SAFTA),South Asian Free Trade Agreement (SAFTA)
Panama , Chile
African Common Market,African Common Market
Albania , Bosnia and Herzegovina
Albania , Bulgaria
Albania , Former Yugoslav Republic of Macedonia
Albania , Moldova
Albania , Romania
US , Bahrain
Albania , Serbia and Montenegro
Albania , UNMIC/Kosovo
Arab Common Market,Arab Common Market
Arusha  Agreement,Arusha  Agreement
Australia , New Zealand Free Trade Agreement
Borneo Free Trade Area,Borneo Free Trade Area
Bulgaria , Bosnia and Herzegovina
Bulgaria , Estonia
Bulgaria , Former Yugoslav Republic of Macedonia
Bulgaria , Israel
Costa Rica , Mexico
Bulgaria , Latvia
Bulgaria , Lithuania
Bulgaria , Serbia and Montenegro
Bulgaria , Slovak Republic Free Trade Agreement
Bulgaria , Slovenia
Bulgaria , Turkey
Canada , US Free Trade Agreement (CUSFTA)
Caribbean Free Trade Association (CARIFTA),Caribbean Free Trade Association (CARIFTA)
