,lable
0,Mexico 
1, Afghanistan
2,Armenia 
3,Malaysia 
4, Latvia Protocol
5, Accession of Armenia
6, Thailand
7, Mexico
8,Bulgaria 
9,Gulf Cooperation Council (GCC) 
10, Tunisia
11,First Convention of Lomé
12, Greece Additional Protocol
13,Southern African Customs Union (SACU)
14,Straits Economic Cooperation Framework Agreement (ECFA)
15,Economic and Monetary Community of Central Africa (CEMAC)
16,El Salvador
17, Egypt Agreement of 1972
18, Turkey Additional Protocol
19, Israel
20,ASEAN 
21, Colombia
22, Ghana
23,"Hong Kong, China "
24, Belarus
25,Slovenia 
26, San Marino
27,Israel 
28,Finland 
29, Hungary Agreement
30, Philippines
31, Greece Association Agreement
32, Malaysia
33, Canada
34,Third Convention of Lomé
35,Pacific Alliance
36, UNMIC/Kosovo
37, Turkey Association Agreement of 1973
38, Nicaragua
39,South Africa 
40, Israel Agreement of 1970
41, Mauritius
42,North American Free Trade Agreement (NAFTA)
43,Central European Free Trade Agreement (CEFTA) 2006
44,Central European Free Trade Agreement (CEFTA) 
45, Algeria
46,Melanesian Spearhead Group (MSG)
47, Slovak Republic Europe Agreement
48,Colombia 
49,Pacific Partnership
50, Morocco Association Agreement of 1969
51,Georgia 
52, Mongolia
53,Pacific Strategic Economic Partnership
54, Romania
55, Romania Interim Agreement
56, Papua New Guinea / Fiji
57, Moldova
58, Azerbaijan
59, Bosnia and Herzegovina
60," Moldova, Republic of"
61,Pakistan 
62,Jordan 
63, Turkey
64,Former Yugoslav Republic of Macedonia  
65,Iceland 
66,Mauritius 
67,Eurasian Economic Union (EAEU) 
68,Gulf Cooperation Council (GCC)
69,Switzerland 
70, Faroe Islands
71, Cameroon Association
72, Turkmenistan
73,South Asian Free Trade Agreement (SAFTA)
74, Uruguay
75, Palestinian Authority
76,US 
77,Singapore 
78, Turkey Association Agreement of 1963
79,Arusha  Agreement
80, Costa Rica
81,Treaty on a Free Trade Area between members of the Commonwealth of Independent States (CIS)
82,Slovak Republic 
83,The Cross
84, Lebanon Cooperation Agreement
85,Southern Common Market (MERCOSUR)
86, South Africa
87,Moldova 
88,Panama 
89, CARIFORUM States EPA
90,Common Market for Eastern and Southern Africa (COMESA)
91,Croatia 
92, Belarus 
93,Poland 
94, Bahrain
95, Faeroe Islands Agreement of 1992
96,Pacific Island Countries Trade Agreement (PICTA)
97,Borneo Free Trade Area
98, Czech and Slovak Federal Republic Interim Agreement
99, Papua New Guinea (PATCRA)
100,Arab Common Market
101, Upper Volta Trade Agreement
102, Bulgaria
103," Northern Triangle (El Salvador, Guatemala, Honduras)"
104, Sweden Free Trade Agreement
105, Accession of Burundi and Rwanda
106, Cuba
107,Latin American Free Trade Area (LAFTA)
108, Cyprus Association Agreement
109, Rep. of  Moldova
110,Nicaragua 
111,Turkey 
112, Colombia and Peru
113, Croatia
114, Malta Association Agreement
115,EC 
116,Eurasian Economic Community (EAEC)
117, Romania Free Trade Agreement
118,EEC 
119, Southern African Customs Union (SACU)
120, Central America
121, US Free Trade Agreement (CUSFTA)
122, Slovenia
123, Central America (Costa Rica and Panama)
124,East African Community (EAC) 
125,South Asian Preferential Trade Arrangement (SAPTA)
126, Kazakhstan
127, Poland Agreement
128, Bulgaria Europe Agreement
129,South Pacific Regional Trade and Economic Cooperation Agreement (SPARTECA)
130, Chile
131, Slovenia Cooperation Agreement
132,Pan
133, Switzerland 
134,Turkmenistan
135,Commonwealth of Independent States (CIS)
136, Estonia Protocol
137,"Korea, Republic of "
138,India 
139,Latin American Integration Association (LAIA)
140, Viet Nam
141,EU – Overseas Countries and Territories (OCT)
142,Czech Republic 
143, Estonia Free Trade Agreement
144, Northern Triangle
145,Chile 
146," Macao, China"
147,Andean Community (CAN)
148, Jordan
149, Accession of Iceland
150,Equatorial Customs Union 
151,Lao People's Democratic Republic 
152,Trans
153, Slovak Republic Free Trade Agreement
154, Portugal Agreement of 1972
155,EFTA 
156,Egypt 
157, Australia
158, GCC
159,Guatemala 
160, Hungary Interim Agreement of 1991
161, Pakistan
162,Canada 
163, Albania
164,Rep. of Korea 
165,GUAM
166, Nicaragua Free Trade Area
167, Former Yugoslav Republic of Macedonia
168,Peru 
169, Spain Agreement of 1970
170,Faroe Islands 
171, Honduras 
172, Norway Free Trade Agreement
173, Sweden Agreement
174,Dominican Republic 
175, Morocco
176,Romania 
177, New Zealand
178,China 
179, Accession of Croatia
180, Hungary Europe Agreement
181,Arab Free Trade Area (PAFTA)
182, Armenia
183, Eastern and Southern Africa States Interim EPA
184, Accession of Bulgaria
185, Estonia
186,Second Convention of Lomé
187, Switzerland Free
188, Cameroon
189, Austria Agreement of 1972
190,Faeroe Islands 
191,West African Economic and Monetary Union (WAEMU)
192,Asia Pacific Trade Agreement (APTA)
193,Japan 
194, Switzerland Free Trade Agreement
195, Finland Agreement
196," Korea, Republic of"
197, SACU
198,European Economic Area (EEA)
199, Panama
200,EC Treaty
201,Caribbean Free Trade Association (CARIFTA)
202, Singapore
203, Lebanon
204, Poland
205,Thailand 
206," Hong Kong, China"
207,Protocol on Trade Negotiations (PTN)
208,Brunei Darussalam 
209, US
210, Estonia Agreement
211,Australia 
212,Central American Free Trade Area
213, Norway
214,African Common Market
215, Egypt
216,  Colombia
217,Agadir Agreement
218, Switzerland
219,Caribbean Community and Common Market (CARICOM)
220, Latvia 
221,Yaoundé II
222,El Salvador 
223,Albania 
